"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"People Serving People (Families)","614 South 3rd Street","Front Desk 612-277-0201","","Remarks: The focus of this shelter is on families with children; and single pregnant females. All referrals are made by Hennepin County. Single pregnant women would share a room with one or two other women, while families have a private room. Women with one child under 8 share a room. Services: Three meals, private rooms with bathroom and shower, and free laundry facilities are available.Assistance from Minneapolis Public Schools, medical clinic, Economic Assistance, Minneapolis Crisis Nursery, Rapid Exit and a preschool are also available, as well as services from 40 other agencies.","","","","sh","73","","614 S 3rd St, Minneapolis, MN 55415, USA",44.9775375,-93.2601763,"ChIJb9xWF2Its1IRTjjU_T0ClZo"
"Families Moving Forward","1808 Emerson Avenue North","612-529-2185","","Remarks: Space is available for 8 families with children. 60-day stays with extensions available. Families sleep in various church congregations. Laundry, showers and meals are available. to call for shelter: If you are in need of shelter, call to find out about openings between 7:30 am-5:30 pm Monday-Sunday.","","","","sh","74","","1808 Emerson Ave N, Minneapolis, MN 55411, USA",44.9979054,-93.2936555,"ChIJKyqtn1oys1IRYr5GoEzivRk"
"Mary's Place (Families)","401 North 7th Street","612-338-4855","","Intake Monday through Thursday 10:15-11:30 am and 1:30-3 pm.Your entire family must go to Sharing and Caring Hands (525 N. 7th St.) to apply for shelter at Mary's Place. Provides: Shelter for up to 30 days for families with two or more children. Shelter cannot be arranged over the phone.","","","","sh","75","","401 N 7th St, Minneapolis, MN 55405, USA",44.9812675,-93.28100839999999,"ChIJIaVJUY0ys1IRQFmUVB27Tds"
"St. Anne's Place (Families)","2634 Russell Avenue North","612-521-2128","","Remarks: Up to 16 rooms are available for homeless families (mothers age 18+ and children only; no men). Families are referred through Hennepin County shelter team (612-348-9410).","","","","sh","76","","2634 Russell Ave N, Minneapolis, MN 55411, USA",45.0070517,-93.310491,"ChIJxcXCDLYzs1IRQcMsnWVxxTs"
"Hope Street (Youth)","1121 East 46th Street","612-204-8448","","Intake: Call for information about available openings. Provides: Shelter for youth ages 18-20; case management, on-site clinic, MH services, independent living skills training.","","","","sh","77","","1121 E 46th St, Minneapolis, MN 55407, USA",44.9185501,-93.2584139,"ChIJnw3Pf9Un9ocR1Itqi_tMfP4"
"Pillsbury United Communities Pillsbury House","3501 Chicago Ave S","Crisis Nursery line: 612-302-3500;","","Provides: Crisis nursery services in a community-based family support program that provides services to parents and children in times of crisis or stress.","","","","sh","78","","3501 Chicago Ave, Minneapolis, MN 55407, USA",44.9393313,-93.26221300000002,"ChIJrS4YXuEn9ocRwCDMK43fDZs"
"Tubman","3111 1st Avenue South","Business 612-825-3333","Office Monday-Thursday 8 am-5 pm; Friday 8 am-noon. 24-hour Crisis Intake: 612-825-0000","Remarks: There is space for 80 women and their children in a secure environment. Referrals are made to safe shelters in the area when they are without space. Also has a site in Maplewood.","","","","sh","79","","3111 1st Ave S, Minneapolis, MN 55408, USA",44.94635599999999,-93.27638669999999,"ChIJM5e9A_Mn9ocRCIXMd8QfpTk"
"Avenues (Youth)","1708 Oak Park Avenue North","612-522-1690, ext. 106","Intake information: Call for information. Open 24 a day, seven days a week.","Provides: Overnight shelter for youth ages 16-20; case management, referral to services. Also offers an emergency shelter in Brooklyn Park. Remarks: Call by 4 pm for one available emergency bed.","","","","sh","80","","1708 Oak Park Ave N, Minneapolis, MN 55411, USA",44.9880084,-93.30244979999999,"ChIJ9y_A2f8ys1IRbhalx1DGxz4"
"The Bridge for Youth","1111 West 22nd Street","24-Hour Crisis 612-377-8800","","Remarks: Space for 10-17 year olds. Call to see if space is available. Services: Youth support groups, individual and family counseling. Transitional living spaces also available for 16 and 17 year olds","","","","sh","81","","1111 W 22nd St, Minneapolis, MN 55405, USA",44.9607144,-93.29411239999999,"ChIJhw1eyNAys1IR3BlvEXiJCRE"
"Catholic Charities Opportunity Center","740 East 17th Street","","Showers and laundry are available Monday-Friday 8-10:30 am.","Arrive between 7-8 am to receive a ticket for shower.","","","","sw","82","","740 E 17th St, Minneapolis, MN 55404, USA",44.9665304,-93.2627872,"ChIJ_yf93KYys1IRvWL5xPcJomk"
"House of Charity","510 South 8th Street","","Showers are available Monday-Friday, 9 am-1 pm.","","","","","sw","83","","510 S 8th St, Minneapolis, MN 55404, USA",44.9730828,-93.2655855,"ChIJh00ES58ys1IRYBVtEvKabdk"
"Salvation Army Harbor Light Center","1010 Currie Avenue","","Showers are available seven days a week, 8 am-4:30pm.","","","","","sw","84","","1010 Currie Ave, Minneapolis, MN 55403, USA",44.9782094,-93.2797272,"ChIJHy06GpMys1IRTcAwCaJaltA"
"Sharing and Caring Hands (Mary Jo's)","525 North 7th Street","","Showers are available Monday-Thursday, 10:30-11:30 am and 1:30-2:30 pm.","","","","","sw","85","","525 N 7th St, Minneapolis, MN 55405, USA",44.9832011,-93.2826462,"ChIJP2f4J_Mys1IRsKiNPXD1_OY"
"Transitional Housing Alternative Homes","2430 Pillsbury Avenue South","Offices: 2446 Portland Avenue South 612-874-6321 or 612-874-0207 Website: www.alternativehomes.org.","","Provides: Safe, sober housing for single, adult men only. One house has 24-hour staff and medication assistance. Room and board are included in rent, which is often paid through GRH or SSI. There is no limit to how long a resident can stay there, only that they follow the rules.","","","","th","86","","2430 Pillsbury Ave S, Minneapolis, MN 55404, USA",44.95797229999999,-93.281765,"ChIJMZMmeckys1IR1gDZvdNZMU4"
"Arrigoni House West","508 University Avenue SE ","612-331-6582","","Intake procedures: Intake done by only Tuesday and Thursday 8:30-10:30 am. No walk-ins. Must be receving benefits through GA or MSA. Provides: Board and lodge for chemically dependent and chemically dependent-mentally ill males; structured sober living environment.","","","","th","87","","508 University Ave SE, Minneapolis, MN 55414, USA",44.9840582,-93.2487682,"ChIJ3e8BqXEts1IRxpygKKKAPJA"
"Ascension Place","1803 Bryant Avenue North"," 612-588-0861","","Provides: Sober supportive housing for women with mental ill- ness, chemical dependency, domestic violence or homelessness. No children. Room and board is paid by GRH through GA or SSI. Private bedrooms with shared bathrooms; all meals provided. Must have 60 days of sobriety and mental health stability, and commit to living at least 2 months at Ascension Place. No limit on how long a resident can stay.","","","","th","88","","1803 Bryant Ave N, Minneapolis, MN 55411, USA",44.9977155,-93.291382,"ChIJ37th41oys1IRl5zIHUsKRkE"
"Exodus Residence","819 2nd Avenue South","Contact: 612-204-8330","","Remarks: Must be referred by Hennepin County. 89 units of transitional housing; 6 units of VA housing. Case management is available. Stays are up to 2 years in transitional units. They take referrals from MDs, RNs,ARMHS workers and case managers.","","","","th","89","","819 2nd Ave S, Minneapolis, MN 55402, USA",44.9740356,-93.27050729999999,"ChIJ4dbvK5gys1IR_zx69tPL3R0"
"House of Charity Housing First/Supportive Services","510 South 8th Street","612-594-2002 (intake coordinator)","","Intake: Must be referred to program by another agency. Call for information. Remarks: GRH-funded board and lodge. Program includes case management, meals, laundry facilities. Referrals are prioritized by need and appropriateness of services.","","","","th","90","","510 S 8th St, Minneapolis, MN 55404, USA",44.9730828,-93.2655855,"ChIJh00ES58ys1IRYBVtEvKabdk"
"Life Rebuilders Midwest Challenge ","3049 Columbus Avenue South ","612-825-6871 x7","Monday-Friday 9 am-4 pm.","Provides: Residential program in a safe,supportive environment for men ages 18+ who desire to get their lives on a productive course, (staying free of drugs, alcohol, and other addicting behaviors).The program offers emotional, intellectual, physical and spiritual sup- port to help participants grow and gain the strength to succeed. Programs 6 months to 1 year in length.. Intake: Potential clients must make an appointment for an interview with the admissions coordinator. Each person accepted into the program must apply for GA and GRH. Goal-setting, counseling and classes will be included in each person's program. Remarks: For more information, go to www.LRBMN.org.","","","","th","91","","3049 Columbus Ave S, Minneapolis, MN 55407, USA",44.9468332,-93.2635844,"ChIJJ3EbhPsn9ocRjcno_Qgf8O4"
"Metro Shelter Hotline","","1-888-234-1329 (toll free)","","Remarks: Provides information about emergency shelter and transitional housing for single adults, families and youth in the 7-county Metro area.","","","","th","92","","Minneapolis, MN, USA",44.977753,-93.2650108,"ChIJvbt3k5Azs1IRB-56L4TJn5M"
"Our Saviour's Housing","2219 Chicago Avenue South ","612-872-4193","","Remarks: Rent is no more than 30% of income. Cooperative living environment and a drug-free house. Candidates for this program must be referred from Hennepin County shelter or street outreach providers.","","","","th","93","","2219 Chicago Ave, Minneapolis, MN 55404, USA",44.9602771,-93.2623108,"ChIJL-V9A6kys1IR0PVMGAzAPuA"
"Salvation Army Harbor Light Center ","1010 Currie Avenue","612-767-3109; ","","Veterans should call 612-767-3100 x3144 Remarks:Transitional housing and structured sober living for men and women recovering from chemical dependency or chronic homelessness. Housing is offered at Harbor Light Center as well as at offsite locations. Additional programming provided for vet- erans.Veterans must apply through the VA's Front Porch meeting at the VA Medical Center on Thursday mornings at 7:30 am or at the VA CRRC in downtown Monday through Friday at 7:30 am.","","","","th","94","","1010 Currie Ave, Minneapolis, MN 55403, USA",44.9782094,-93.2797272,"ChIJHy06GpMys1IRTcAwCaJaltA"
"Simpson Housing Services ","2100 Pillsbury Avenue South ","612-874-8683","","Intake: Referrals only through Coordinated Entry System. Provides: Short-term and long-term housing and support services for families with children. Remarks: Housing is scattered-site and site-based within Hen- nepin County.","","","","th","95","","2100 Pillsbury Ave S, Minneapolis, MN 55404, USA",44.9617647,-93.2816477,"ChIJy7hce8gys1IR1QOwARb3qBs"
"Vail House","1025 SE 6th Street","Info 612-454-480","","Remarks: A 23-bed group residential housing (GRH) facility that provides transitional housing and services to support homeless adults with mental illness and chemical dependency needs. Up to 23 residents can be served in the communal transitional housing. Staff work with private landlords throughout Hennepin County to locate permanent housing for participants.","","","","th","96","","1025 6th St SE, Minneapolis, MN 55414, USA",44.9844207,-93.23843480000001,"ChIJjRW_sg0ts1IRpVHDWCDKL8A"
"Wayside Recovery Center ","2120 Clinton Avenue South ","612-871-0099","","Remarks: Long-term residential substance abuse and mental health treatment program. This comprehensive family treatment program provides services for mothers and their children up to age 11. Children are able to visit or live on-site with their mothers. Early childhood education, preschool and parenting groups provided. Services include on-site nursing staff, recovery specialist, family therapy, play therapy, relapse prevention and DBT-based skills groups.","","","","th","97","","2120 Clinton Ave, Minneapolis, MN 55404, USA",44.9611078,-93.271793,"ChIJxUqyWLAys1IREKV5m7QybUU"
"Avivo (formerly RESOURCE Inc.) ","1825 Chicago Avenue South ","612-752-8200","","Provides: Independent living program to help homeless men- tally ill individuals to get off the streets and develop a stable rental history. Remarks: Must be referred by Coordinated entry. No families or couples.","","","","ph","98","","1825 Chicago Ave, Minneapolis, MN 55404, USA",44.964215,-93.26220769999999,"ChIJtabUtKcys1IRRcSVP6qar-I"
"Alliance Apartments","719 East 16th Street ","612-630-3600","","Rent: 30% of income for section 8, $535 for the non subsidized units and GRH funding for the addition. Remarks: 100 units are Section 8 certificates; another 24 are non- subsidized units which are permanent housing. There is no limit on the length you may live here. This is an entirely sober living environment.  Residents must be sober on and off the property. Supportive services (e.g., AA meetings, case management, coun- seling) are available.  60 GRH-funded units in new addition with same qualifications.","","","","ph","99","","719 E 16th St, Minneapolis, MN 55404, USA",44.966892,-93.26392,"ChIJ80_iuaYys1IRFxEPneHSdis"
"Anishinabe Wakiagun ","1600 East 19th Street ","Contact: 612-871-2883","","Remarks: Supportive housing for chronic alcoholics, men and women. Case management services and referrals are available. Anishinabe Bii Gii Wiin next door offers 32 beds of sober living. Intake Anishinabe Wagiagun: Monday through Friday 7 am-3 pm;Anishinabe Bii Gii Winn: Monday,Wednesday and Fri- day 8-9 am.","","","","ph","100","","1600 E 19th St, Minneapolis, MN 55404, USA",44.96366520000001,-93.251109,"ChIJ3b4Wm1ots1IRDnFvgn8juP4"
"Archdale Apartments ","1600 1st Avenue South ","612-253-1462","","Remarks: Has 26 units of permanent rental housing for youth ages 16-21 and 4 onsite parent units.There also are 7 scattered site apartments for single teen parents. Alcohol and drug use is prohibited on site.Applicants must currently be homeless.","","","","ph","101","","1600 1st Ave S, Minneapolis, MN 55403, USA",44.9670767,-93.2767868,"ChIJ5ZHJMrkys1IRqIht4nEkmSE"
"Cabrini Supportive Housing","1035 East Franklin Ave. ","612-455-5245","","Remarks: Program for single adults located in 170 apartments across Hennepin County. Participants must have experienced long-term homelessness, meet GRH eligibility, and have a disability. Intake: Through Coordinated Entry System (see page 21).","","","","ph","102","","1035 E Franklin Ave, Minneapolis, MN 55404, USA",44.9624624,-93.2584988,"ChIJsyrA8Vcts1IRV1q_s1iN28o"
"Catholic Charities Higher Ground","165 Glenwood Avenue North ","612-204-8551","","Provides: Permanent supportive housing with services for people who have been long-term homeless. 74 SRO units are available for single men, and 11 efficiency apartments for single men or women. Rent: Some SRO units are funded through GRH, and some SROs and efficiencies through Shelter Care Plus, which would be 30% of income. For both you must be receiving or eligible for some form of public assistance. Intake: Call for information, or ask staff at Higher Ground shelter.","","","","ph","103","","165 Glenwood Ave, Minneapolis, MN 55405, USA",44.9788964,-93.2853102,"ChIJodshtu0ys1IR7CY9vwhGd9k"
"Central Avenue Apartments ","1828 Central Avenue NE ","Contact: 612-782-2999","","Remarks: Efficiency apartments for people who are homeless, sober, and have a verifiable disability. Rent is 30% of income. Must document 30 days of sobriety.","","","","ph","104","","1828 Central Ave NE, Minneapolis, MN 55418, USA",45.0071984,-93.2479224,"ChIJzWVsXJQts1IRQz5akselpBo"
"Glenwood Residence","173 Glenwood Avenue North ","Contact: 612-204-8405","","Remarks: Support services and housing for late-stage, chronic alcoholics (private room with shared baths; meals included).This is not sober housing. Men only.","","","","ph","105","","173 Glenwood Ave, Minneapolis, MN 55405, USA",44.97878499999999,-93.286064,"ChIJzVvZ0-0ys1IRI0P4fhvrVeg"
"House of Charity Housing First/Supportive Services","510 South 8th Street ","612-594-2027","","Intake: Must be referred to program by another agency. Call for info. Remarks: Harm reduction GRH-funded program providing scattered-site permanent housing (indivdiual apartments) with home visits from support staff. Must pass background checks ac- cording to landlord's criteria.","","","","ph","106","","510 S 8th St, Minneapolis, MN 55404, USA",44.9730828,-93.2655855,"ChIJh00ES58ys1IRYBVtEvKabdk"
"Lydia Apartments","1920 LaSalle Avenue South ","612-879-5770","","Provides: Permanent supportive housing for people with disabili- ties.All apartments are efficiencies. Must be homeless, disabled and committed to sobriety (60 days sobriety required). Intake: Must be referred by Hennepin County.","","","","ph","107","","1920 Lasalle Ave, Minneapolis, MN 55403, USA",44.9632759,-93.2797697,"ChIJk3TB9ccys1IRnP_8FKMMesY"
"Nicollet Square","3710 Nicollet Avenue South ","612-823-0122","","Provides: Permanent supportive housing for 42 youth ages 16-22. Remarks: Referrals provided through Hennepin County Coordi- nated Entry and extended foster care.","","","","ph","108","","3710 Nicollet Ave, Minneapolis, MN 55409, USA",44.9354031,-93.2782297,"ChIJsYg2yuon9ocR47FKDXkSgkI"
"Opportunity Housing Continental Hotel","66 South 12th Street ","612-339-4557","","","","","","ph","109","","66 S 12th St, Minneapolis, MN 55403, USA",44.972822,-93.2774057,"ChIJrSABl5Uys1IRIaX7shcL3v4"
"Opportunity Housing The Lamoreaux","706 1st Avenue North ","612-376-7661","","Provides: Group residential housing (GRH) program with efficiency apartments and some Section  8 and market-rate units for long-term   homeless individuals. Regular case management and supportive services. Remarks: Must be referred by a social service provider, be age 18 or older, eligible for GA or SSI, and have been long-term homeless. Staff will review applications for eligibility.","","","","ph","110","","706 N 1st Ave, Minneapolis, MN 55403, USA",44.9786314,-93.2765749,"ChIJq-F81JMys1IR2Nf5LRXBOyQ"
"Opportunity Housing The Coyle","1801 LaSalle Avenue ","612-746-4854","","Provides: Group residential housing (GRH) program with efficiency apartments and some Section  8 and market-rate units for long-term   homeless individuals. Regular case management and supportive services. Remarks: Must be referred by a social service provider, be age 18 or older, eligible for GA or SSI, and have been long-term homeless. Staff will review applications for eligibility.","","","","ph","111","","1801 Lasalle Ave, Minneapolis, MN 55403, USA",44.9653275,-93.27893569999999,"ChIJt0oBkrgys1IRbzBhWLEvuMY"
"Our Saviour's Housing","2219 Chicago Avenue South","612-872-4193","","Provides: Permanent supportive housing for individuals who have a disability and have been long-term homeless. Intake: Candidates for this program must be referred from Hen- nepin County Coordinated Entry (See page 21).","","","","ph","112","","2219 Chicago Ave, Minneapolis, MN 55404, USA",44.9602771,-93.2623108,"ChIJL-V9A6kys1IR0PVMGAzAPuA"
"People Serving People","614 South 3rd Street ","612-332-4500","","Provides: Permanent supportive housing program for families.","","","","ph","113","","614 S 3rd St, Minneapolis, MN 55415, USA",44.9775375,-93.2601763,"ChIJb9xWF2Its1IRTjjU_T0ClZo"
"Portland Village","1829 Portland Avenue South ","612-872-9045","","Provides: A sober living environment for homeless families with a disability. Rent is 30% of income. Supportive services, including day care, are available. Permanent supportive housing. Remarks: Must be sober upon move in, and remain sober on and off the property.","","","","ph","114","","1829 Portland Ave, Minneapolis, MN 55404, USA",44.9641272,-93.26723299999999,"ChIJ9XLapaUys1IRsW5TN8vqDOg"
"Pursuit Hometel","1918 Park Avenue South ","612-874-0332","","Provides: Board and Lodge open to men only. Referrals accepted through DOC, treatment programs and community organizations. Rent is $893/month or $36/day. Remarks: Must be referred by parole or probation officer, mental health professional, or Coordinated Entry.","","","","ph","115","","1918 Park Ave, Minneapolis, MN 55404, USA",44.9633174,-93.2655755,"ChIJ-8Fx8qUys1IR8aK9mN9So2I"
"Salvation Army HOPE Harbor","53 Glenwood Avenue ","612-659-0705","","Provides: Permanent supportive housing for single adults. Ef- ficiency unit includes own bathroom, kitchen and furnished bed, dresser and desk. Remarks: Call first to find out if accepting applications. Applica- tions may also be picked up at front desk.","","","","ph","116","","53 Glenwood Ave, Minneapolis, MN 55403, USA",44.9786739,-93.2790879,"ChIJISprApMys1IR3efscsD87Sc"
"Turning Point, Inc.","1500 Golden Valley Road ","612-520-4004","","Remarks: Supportive housing program is a culturally-specific, community-based sober, supportive housing program serving homeless men and women over the age of 18. The goal of the program is to provide affordable housing and deliver comprehen- sive support services.","","","","ph","117","","1500 Golden Valley Rd, Minneapolis, MN 55411, USA",44.9990368,-93.29994920000001,"ChIJ5ZQ7ClIys1IRPhNH33VEqX8"
"YouthLink St. Barnabas Apartments","906 South 7th St. ","612-253-0630","","Provides: 39 units of permanent subsidized housing with supportive services for youth ages 16-21. Remarks: Must be referred by Coordinated Entry.","","","","ph","118","","906 S 7th St, Minneapolis, MN 55415, USA",44.9717847,-93.2592588,"ChIJBQFY5l8ts1IRfusLqMdaCK4"
"Alliance Housing Inc.","2309 Nicollet Avenue ","612-870-2267","","Remarks: Scattered independent living sites provide shared units for homeless single adults and apartments for homeless families. There are no subsidies or services. Income must be verifiable.","","","","rh","119","","2309 Nicollet Ave, Minneapolis, MN 55404, USA",44.9598811,-93.2774479,"ChIJCV3bTbYys1IRQZUPN7f_INY"
"The Bridge for Youth ","1111 West 22nd Street ","612-377-8800","","Remarks: Rita's House is an intentional living community with 12 units for youth 18-21 years old who are homeless or at risk of homelessness.Youth living in the house work together to support one another, develop shared goals and ruls for their community, build the skills necessary to live independently, and create rental history.","","","","rh","120","","1111 W 22nd St, Minneapolis, MN 55405, USA",44.9607144,-93.29411239999999,"ChIJhw1eyNAys1IR3BlvEXiJCRE"
"Drake Hotel","416 South 10th Street ","Contact: 612-359-0947","","Rent: Single adults: $165/week; Couples: $215/week, $50 for each additional person. Remarks: County vouchers are accepted for families who have been referred by Hennepin County.","","","","rh","121","","416 S 10th St, Minneapolis, MN 55404, USA",44.9715625,-93.2677788,"ChIJ51yHh6Iys1IR3snun3Gjd7k"
"Evergreen Residence","177 Glenwood Avenue North","612-204-8305 ","","Rent: $390/month Provides: Single rooms with shared baths. Intake: Walk-in to fill out application. Has a 24-hour front desk. $20 application fee and interview required. Remarks: Must have verifiable income less than $29,000; call or stop in to be put on an interested list. Can apply online at www. cctwincities.org/evergreen","","","","rh","122","","177 Glenwood Ave, Minneapolis, MN 55405, USA",44.978755,-93.28636890000001,"ChIJAynF1e0ys1IRv45WPd0jz-0"
"HOPE Community ","1928 Portland Avenue ","612-874-8867","","Housing Information: 612-333-9284 (info about Aeon properties) Monday,Tuesday,Wednesday and Friday 9 am-4 pm Remarks: Permanent affordable rental housing open to individuals and families. Rent:A range of rents and units are available in several different buildings.","","","","rh","123","","1928 Portland Ave, Minneapolis, MN 55404, USA",44.962972,-93.268042,"ChIJB1ExYaUys1IRrkzXh1LKuHw"
"Minneapolis Public Housing Authority ","1001 Washington Ave North","612-342-1400","Monday-Friday from 8 am-4:30 pm.","Provides: housing assistance in the form of Section 8 rent subsidy vouchers and residence in public housing to individuals, families, and senior citizens who meet eligibility requirements. Remarks: More info at www.mphaonline.org.","","","","rh","124","","1001 N Washington Ave, Minneapolis, MN 55401, USA",44.990494,-93.28123529999999,"ChIJaY5bJmAys1IRPJleQvr5wSE"
"American Indian Community Development Corp. ","Monday through Friday, 8 am-4:30 pm.","612-813-1610 Website: www.aicdc-mn.org.","","Provides: List of available housing in the seven-county metro area. No financial assistance is provided.While focused on the Native American community, this service is available to all.","","","","rh","125","","Minneapolis, MN, USA",44.977753,-93.2650108,"ChIJvbt3k5Azs1IRB-56L4TJn5M"
"Catholic Charities Prevention Program Intake","","612-204-8273","","Provides: The Prevention program provides some financial help to prevent single adults from losing housing. Intake: Applicants must call first to begin the process. Remarks: Individuals must be a single adult with no children living in the home, they must live in Minneapolis and have a denial letter from Emergency Assistance. Situation must be resolvable, and they must have some income to go toward rent.","","","","rh","126","","Minneapolis, MN, USA",44.977753,-93.2650108,"ChIJvbt3k5Azs1IRB-56L4TJn5M"
"HOME Line","612-728-5767; toll free 1-866-866-3546","","","Monday-Thursday 9 am-6 pm; Fri. 9 am-3 pm. Provides: Provides free legal, organizing, education and advo- cacy services so that tenants can solve their own rental housing problems.The HOME Line hotline advocates provide free advice regarding Minnesota tenant/landlord law. Tenants may email and find an attorney by going to the website www.homelinemn.org. Remarks: Staff available who speak both Spanish and Somali.","","","","rh","127","","3455 Bloomington Ave, Minneapolis, MN 55407, USA",44.939753,-93.25222839999999,"ChIJ2X5BHgwo9ocRljBN4kunNEA"
"Legal Aid","430 1st Avenue North #300","Intake: 612-334-5970","","Intake Monday-Friday 9:30-11:30 am;1:30-3:30 pm. Office 612-332-1441 Provides: Legal assistance for individuals with housing-related problems (eviction, sub-standard housing, need for repairs, rent increases, landlord abuses, loss of public housing matters, etc.) Remarks: Services are free if eligible.","","","","rh","128","","430 N 1st Ave #300, Minneapolis, MN 55401, USA",44.98086840000001,-93.27357260000001,"Ei4zMDAsIDQzMCBOIDFzdCBBdmUsIE1pbm5lYXBvbGlzLCBNTiA1NTQwMSwgVVNBIh8aHQoWChQKEgnFM68lkDKzUhGq7VRCB043ohIDMzAw"
"Matrix Housing Services","2929 4th Avenue South, Suite 210 ","612-915-0202","","Emergency Shelter: 651-319-2153 (Dakota County) Website: www.matrixhousingservices.org Provides: Quality support to those experiencing homelessness. Current services include emergency shelter, providing assessments to be used to connect individuals to resources, family reunification in Dakota County, and accepting referrals from shelter for our Rapid ReHousing program.","","","","rh","129","","2929 4th Ave S #210, Minneapolis, MN 55408, USA",44.949018,-93.269921,"Ei8yMTAsIDI5MjkgNHRoIEF2ZSBTLCBNaW5uZWFwb2xpcywgTU4gNTU0MDgsIFVTQSIfGh0KFgoUChIJoZa_Nvcn9ocR1lkhHgOghFcSAzIxMA"
"Minnesota Attorney General's Office ","651-296-3353 or 1-800-657-3787","Monday through Friday from 8 am-5 pm.","","Provides: Information about housing law and tenant rights to anyone in Minnesota.","","","","rh","130","","Minneapolis, MN, USA",44.977753,-93.2650108,"ChIJvbt3k5Azs1IRB-56L4TJn5M"
"Open Access Connections ","651-643-0883","","","Provides: Through community outreach sites and a network of community agencies, Open Access Connections provides an individual voice mail number for low income people to receive messages as they look for jobs, housing, and maintain contact with health care and social services professionals. It also serves as a safe number for victims of domestic abuse.There is no charge. Call for a referral to a participating agency or visit http://tinyurl. com/OACOutreach for updated outreach locations.","","","","rh","131","","Minneapolis, MN, USA",44.977753,-93.2650108,"ChIJvbt3k5Azs1IRB-56L4TJn5M"
"St. Stephen's Human Services ","2309 Nicollet Avenue","Intake 612-870-2298","","Provides: The Prevention program provides some financial help to prevent families from losing housing. Intake: Applicants must call first to begin the process. Remarks: Families must live in Minneapolis and have a denial letter from Emergency Assistance. Situation must be resolvable, and they must have some income to go toward rent.","","","","rh","132","","2309 Nicollet Ave, Minneapolis, MN 55404, USA",44.9598811,-93.2774479,"ChIJCV3bTbYys1IRQZUPN7f_INY"
